Id,Prediction
1,0.00914894
2,0.03493624
3,0.9804102
4,0.005483324
5,0.030530326
6,0.037723545
7,0.95880914
8,0.9973136
9,0.53527695
10,0.027626306
11,0.028691126
12,0.004109582
13,0.096395716
14,0.93643475
15,0.10016357
16,0.011170918
17,0.08163029
18,0.03302226
19,0.9674042
20,0.46665534
21,0.091615476
22,0.10944076
23,0.9997002
24,0.072132625
25,0.036022376
26,0.2120793
27,0.12992261
28,0.99981356
29,0.742007
30,0.9669037
31,0.90900207
32,0.0018461648
33,0.99090314
34,0.997871
35,0.22141548
36,0.8702998
37,0.055014223
38,0.9847381
39,0.97976655
40,0.11809315
41,0.2047368
42,0.051867317
43,0.69454414
44,0.9796703
45,0.03117256
46,0.9772961
47,0.40693346
48,0.98621607
49,0.99213177
50,0.23498194
51,0.01821935
52,0.99358594
53,0.9854098
54,0.9821976
55,0.25919068
56,0.9173161
57,0.97422606
58,0.060844116
59,0.050001796
60,0.705788
61,0.76276255
62,0.99172866
63,0.96889096
64,0.9785637
65,0.012258758
66,0.2109691
67,0.99322397
68,0.02876501
69,0.018235015
70,0.025241708
71,0.89388376
72,0.054086875
73,0.13218337
74,0.96551293
75,0.99632615
76,0.012324817
77,0.9859048
78,0.01567607
79,0.99324894
80,0.07400985
81,0.98023236
82,0.99557954
83,0.11190017
84,0.98143226
85,0.9535733
86,0.076148935
87,0.07399212
88,0.69089013
89,0.42854998
90,0.97192377
91,0.01766473
92,0.09545062
93,0.98527414
94,0.7821509
95,0.9978615
96,0.9958432
97,0.98698217
98,0.948228
99,0.00461402
100,0.87296754
101,0.9963664
102,0.69492906
103,0.98733044
104,0.9795248
105,0.37683403
106,0.6372216
107,0.30789617
108,0.29054835
109,0.97740674
110,0.9617725
111,0.15341854
112,0.9062393
113,0.12227011
114,0.9062466
115,0.99595314
116,0.99931246
117,0.07114912
118,0.99942744
119,0.9666327
120,0.9946916
121,0.988605
122,0.10682273
123,0.90204895
124,0.6032895
125,0.9676117
126,0.96847457
127,0.0039843735
128,0.94005555
129,0.99545485
130,0.85087854
131,0.057997823
132,0.027263792
133,0.036823306
134,0.517648
135,0.5664875
136,0.2502945
137,0.03848558
138,0.9877548
139,0.027621567
140,0.99948364
141,0.9965682
142,0.010016119
143,0.111970074
144,0.80601376
145,0.016255645
146,0.9894733
147,0.005995227
148,0.96235377
149,0.021203177
150,0.12160443
151,0.7124273
152,0.37244165
153,0.9524818
154,0.9958696
155,0.994718
156,0.046020087
157,0.0945197
158,0.5886357
159,0.009119124
160,0.99106807
161,0.9038994
162,0.014392945
163,0.99799365
164,0.92462975
165,0.5194451
166,0.013888904
167,0.06021267
168,0.07215354
169,0.08191533
170,0.87503016
171,0.97015387
172,0.9669694
173,0.98683476
174,0.9937094
175,0.023204489
176,0.9887231
177,0.9112466
178,0.04254701
179,0.97467506
180,0.97870994
181,0.5232986
182,0.020667491
183,0.060848862
184,0.81729764
185,0.017776642
186,0.7857519
187,0.99527556
188,0.020641686
189,0.026877424
190,0.9392333
191,0.9786685
192,0.9949205
193,0.95303774
194,0.05865458
195,0.015688553
196,0.9939063
197,0.018637368
198,0.011729436
199,0.18894747
200,0.17226678
