Id,Prediction
1,0.087862685
2,0.17924447
3,0.71357805
4,0.11445304
5,0.21550357
6,0.109914266
7,0.86854935
8,0.7370755
9,0.37917164
10,0.095782496
11,0.13168252
12,0.12963589
13,0.15998875
14,0.6298064
15,0.22445773
16,0.1969831
17,0.24971886
18,0.18474318
19,0.8005813
20,0.95348096
21,0.20233145
22,0.24186683
23,0.9570175
24,0.17243804
25,0.13464044
26,0.15675384
27,0.18147643
28,0.9284555
29,0.29553464
30,0.76415396
31,0.66967046
32,0.11417663
33,0.7598854
34,0.8302494
35,0.4097514
36,0.39108494
37,0.11865745
38,0.71125126
39,0.62848055
40,0.15907569
41,0.12856372
42,0.15270415
43,0.6856914
44,0.82936203
45,0.15280607
46,0.8629737
47,0.3318108
48,0.83364
49,0.7422595
50,0.16405769
51,0.16181591
52,0.8740433
53,0.7154582
54,0.7974349
55,0.15253802
56,0.7014479
57,0.8189226
58,0.12868899
59,0.1527386
60,0.23168503
61,0.47143626
62,0.6876177
63,0.7922547
64,0.61265427
65,0.13852276
66,0.4224343
67,0.844261
68,0.15163586
69,0.14800811
70,0.16598849
71,0.69838005
72,0.1564002
73,0.17571011
74,0.6415914
75,0.8906251
76,0.11412728
77,0.9050752
78,0.1570491
79,0.9242054
80,0.23707354
81,0.5815553
82,0.87656724
83,0.11099235
84,0.7282137
85,0.7018299
86,0.3932736
87,0.2340563
88,0.9558254
89,0.2593005
90,0.69513845
91,0.1249202
92,0.12040958
93,0.8100124
94,0.6031599
95,0.78632945
96,0.8478543
97,0.6316567
98,0.55029494
99,0.144782
100,0.7348144
101,0.9020817
102,0.6263728
103,0.79653883
104,0.7715342
105,0.13246702
106,0.6318407
107,0.11954915
108,0.16925943
109,0.80271584
110,0.61416805
111,0.26529756
112,0.57213986
113,0.13194972
114,0.6241018
115,0.6845477
116,0.8675661
117,0.15618305
118,0.8673871
119,0.7294323
120,0.8216247
121,0.84261894
122,0.29083362
123,0.6585418
124,0.40312788
125,0.87208384
126,0.64801466
127,0.17900476
128,0.5871295
129,0.69704646
130,0.6651925
131,0.18035549
132,0.13713539
133,0.23008825
134,0.18190128
135,0.60511243
136,0.40459654
137,0.13141108
138,0.8699081
139,0.12531057
140,0.881222
141,0.8657045
142,0.13963477
143,0.1351654
144,0.5231753
145,0.12413306
146,0.70757467
147,0.103280954
148,0.7086833
149,0.18473977
150,0.11617546
151,0.15300542
152,0.17496744
153,0.6763057
154,0.787749
155,0.8354553
156,0.13164386
157,0.21588437
158,0.8700539
159,0.15314126
160,0.75724494
161,0.80082935
162,0.14204659
163,0.92850494
164,0.8333718
165,0.20408377
166,0.1196329
167,0.22512268
168,0.20049281
169,0.22410433
170,0.74206436
171,0.9301606
172,0.72066534
173,0.8696565
174,0.91929185
175,0.13562216
176,0.854509
177,0.63720095
178,0.19420372
179,0.7781746
180,0.7266914
181,0.30977058
182,0.19558509
183,0.18109934
184,0.58172673
185,0.2418413
186,0.40227607
187,0.809899
188,0.1640571
189,0.17823134
190,0.7074626
191,0.7044919
192,0.69499546
193,0.5680625
194,0.13445817
195,0.15309139
196,0.94558185
197,0.41496268
198,0.18853064
199,0.31625193
200,0.13948539
